Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,Region,Product ID,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
IN-2014-JR162107-41675,2014-02-05,2014-02-07,Second Class,JR-162107,Corporate,Australia,Oceania,FUR-CH-5379,3709.4,9,0.1,-288.77,923.63,Critical
IN-2014-CR127307-41929,2014-10-17,2014-10-18,First Class,CR-127307,Consumer,Australia,Oceania,TEC-PH-5356,5175.17,9,0.1,919.97,915.49,Medium
IN-2014-JM156557-41818,2014-06-28,2014-07-01,Second Class,JM-156557,Corporate,Australia,Oceania,TEC-PH-5842,2862.68,5,0.1,763.28,897.35,Critical
IN-2012-TS2134092-41219,2012-11-06,2012-11-08,First Class,TS-2134092,Consumer,New Zealand,Oceania,FUR-CH-5378,1822.08,4,0.0,564.84,894.77,Critical
IN-2013-MB1808592-41378,2013-04-14,2013-04-18,Standard Class,MB-1808592,Consumer,New Zealand,Oceania,FUR-TA-3764,5244.84,6,0.0,996.48,878.38,High
ID-2013-AJ107801-41383,2013-04-19,2013-04-22,First Class,AJ-107801,Corporate,Afghanistan,Southern Asia,FUR-TA-3420,4626.15,5,0.0,647.55,835.57,High
SA-2012-MM7260110-41269,2012-12-26,2012-12-28,Second Class,MM-7260110,Consumer,Saudi Arabia,Western Asia,TEC-PH-3807,2616.96,4,0.0,1151.4,832.41,Critical
IN-2014-PF1912027-41796,2014-06-06,2014-06-08,Second Class,PF-1912027,Consumer,China,Eastern Asia,OFF-AP-4959,3701.52,12,0.0,1036.08,804.54,Critical
IN-2015-JS156857-42035,2015-01-31,2015-02-01,First Class,JS-156857,Corporate,Australia,Oceania,TEC-CO-3597,2565.59,9,0.1,28.4,766.93,Critical
IN-2012-JK1532527-41030,2012-05-01,2012-05-02,First Class,JK-1532527,Corporate,China,Eastern Asia,FUR-CH-5774,2754.0,6,0.0,358.02,752.47,Critical
IN-2012-PB19210127-41259,2012-12-16,2012-12-19,First Class,PB-19210127,Corporate,Taiwan,Eastern Asia,FUR-TA-5060,1715.16,2,0.0,720.36,725.57,Critical
IN-2013-BP1123058-41329,2013-02-24,2013-02-24,Same Day,BP-1123058,Consumer,India,Southern Asia,FUR-CH-5443,1878.72,4,0.0,582.36,704.08,Critical
IN-2012-DP131057-41215,2012-11-02,2012-11-04,Second Class,DP-131057,Corporate,Australia,Oceania,OFF-AP-3579,2526.93,5,0.1,561.48,689.8,Critical
IN-2012-DL128657-40918,2012-01-10,2012-01-11,First Class,DL-128657,Consumer,Australia,Oceania,TEC-PH-5356,2875.1,5,0.1,511.1,665.27,Medium
ID-2014-JB1600059-41873,2014-08-22,2014-08-26,Standard Class,JB-1600059,Consumer,Indonesia,Southeastern Asia,TEC-PH-5268,3200.6,6,0.17,-77.2,660.87,High
IN-2015-BF1100558-42319,2015-11-11,2015-11-15,Standard Class,BF-1100558,Home Office,India,Southern Asia,TEC-PH-5269,4518.78,7,0.0,632.52,658.69,High
IN-2015-VG2180558-42273,2015-09-26,2015-09-28,Second Class,VG-2180558,Corporate,India,Southern Asia,FUR-BO-5951,5667.87,13,0.0,2097.03,658.35,Medium
IN-2015-AP1091527-42244,2015-08-28,2015-08-29,First Class,AP-1091527,Consumer,China,Eastern Asia,FUR-CH-5380,2761.2,6,0.0,110.34,644.75,High
IN-2015-SW2027558-42125,2015-05-01,2015-05-01,Same Day,SW-2027558,Consumer,India,Southern Asia,TEC-MA-5007,2174.13,7,0.0,500.01,637.86,Critical
IR-2015-TG1164060-42265,2015-09-18,2015-09-21,First Class,TG-1164060,Consumer,Iran,Southern Asia,TEC-CO-3678,2108.64,8,0.0,527.04,630.97,Critical
IN-2012-PB19210127-41259,2012-12-16,2012-12-19,First Class,PB-19210127,Corporate,Taiwan,Eastern Asia,FUR-BO-5762,2197.5,5,0.0,153.75,627.27,Critical
IN-2013-SG2047058-41424,2013-05-30,2013-05-31,First Class,SG-2047058,Consumer,India,Southern Asia,TEC-CO-4590,1526.52,4,0.0,732.72,625.77,Critical
IN-2013-GP1474058-41419,2013-05-25,2013-05-28,Second Class,GP-1474058,Corporate,India,Southern Asia,FUR-TA-3766,1745.34,2,0.0,226.86,616.27,Critical
IN-2015-MW182207-42221,2015-08-05,2015-08-06,First Class,MW-182207,Consumer,Australia,Oceania,OFF-AP-3577,4191.51,9,0.1,1164.27,614.34,High
IN-2015-CS1246011-42074,2015-03-11,2015-03-13,Second Class,CS-1246011,Consumer,Bangladesh,Southern Asia,FUR-BO-5760,3063.27,7,0.0,581.91,609.24,High
IN-2015-DB1340527-42022,2015-01-18,2015-01-23,Standard Class,DB-1340527,Consumer,China,Eastern Asia,FUR-CH-5774,5049.0,11,0.0,656.37,595.5,High
