Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,Region,Product ID,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
ES-2014-KM1637548-41667,2014-01-28,2014-01-30,First Class,KM-1637548,Home Office,Germany,Western Europe,TEC-PH-5267,2892.51,5,0.1,-96.54,910.16,Medium
ES-2015-BP1118545-42216,2015-07-31,2015-08-03,Second Class,BP-1118545,Corporate,France,Western Europe,OFF-AP-3575,1869.59,4,0.1,186.95,801.66,Critical
ES-2015-PJ1883564-42255,2015-09-08,2015-09-14,Standard Class,PJ-1883564,Corporate,Italy,Southern Europe,OFF-AP-4743,7958.58,14,0.0,3979.08,778.32,Low
PL-2013-AB600103-41494,2013-08-08,2013-08-10,First Class,AB-600103,Corporate,Poland,Eastern Europe,FUR-TA-4644,1977.72,4,0.0,276.84,759.47,Critical
ES-2014-LB16795139-41697,2014-02-27,2014-03-01,Second Class,LB-16795139,Home Office,United Kingdom,Northern Europe,OFF-AP-4960,5273.7,10,0.0,1898.4,730.91,High
ES-2012-EB1411048-40981,2012-03-13,2012-03-16,Second Class,EB-1411048,Consumer,Germany,Western Europe,OFF-AP-4743,3069.74,6,0.1,1364.24,725.34,Critical
ES-2013-BS1136545-41472,2013-07-17,2013-07-19,First Class,BS-1136545,Corporate,France,Western Europe,TEC-MA-5503,2402.87,9,0.15,763.16,699.55,Critical
ES-2015-PO18865139-42018,2015-01-14,2015-01-18,Standard Class,PO-18865139,Consumer,United Kingdom,Northern Europe,TEC-CO-3598,4141.02,13,0.0,1697.67,668.96,High
ES-2013-GT14710139-41621,2013-12-13,2013-12-17,Standard Class,GT-14710139,Consumer,United Kingdom,Northern Europe,TEC-PH-5267,5785.02,9,0.0,404.73,656.73,High
IT-2012-ZC2191048-41174,2012-09-22,2012-09-24,First Class,ZC-2191048,Consumer,Germany,Western Europe,OFF-AP-3874,3018.62,7,0.2,377.24,655.91,Critical
IT-2014-EB1384045-41706,2014-03-08,2014-03-08,Same Day,EB-1384045,Corporate,France,Western Europe,FUR-CH-5441,2092.5,5,0.1,720.75,652.98,Critical
