Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,Region,Product ID,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
MX-2013-VF2171518-41591,2013-11-13,2013-11-13,Same Day,VF-2171518,Home Office,Brazil,South America,FUR-CH-4530,2221.8,7,0.0,622.02,810.25,Critical
US-2015-NP1832582-42216,2015-07-31,2015-08-01,First Class,NP-1832582,Consumer,Mexico,Central America,TEC-PH-5268,1713.84,4,0.0,445.52,728.968,Critical
MX-2015-VD2167039-42252,2015-09-05,2015-09-08,First Class,VD-2167039,Consumer,El Salvador,Central America,FUR-TA-4643,2106.5,8,0.2,526.5,728.389,Critical
US-2012-RR1952536-41270,2012-12-27,2012-12-29,Second Class,RR-1952536,Corporate,Dominican Republic,Caribbean,TEC-PH-5841,1696.64,5,0.2,-148.46,704.056,Critical
MX-2015-JH15820141-42356,2015-12-18,2015-12-20,Second Class,JH-15820141,Consumer,Uruguay,South America,FUR-CH-4531,3473.14,11,0.0,868.12,634.529,High
MX-2015-EM1420082-42328,2015-11-20,2015-11-20,Same Day,EM-1420082,Home Office,Mexico,Central America,TEC-PH-5839,1704.0,4,0.0,119.28,592.726,Critical
MX-2012-ST2053093-41234,2012-11-21,2012-11-22,First Class,ST-2053093,Consumer,Nicaragua,Central America,OFF-AP-4497,2443.48,13,0.0,121.94,589.293,Medium
MX-2013-FH1436582-41558,2013-10-11,2013-10-14,First Class,FH-1436582,Corporate,Mexico,Central America,TEC-PH-5839,2556.0,6,0.0,178.92,530.486,Medium
MX-2014-AB1006028-41755,2014-04-26,2014-04-28,First Class,AB-1006028,Home Office,Colombia,South America,FUR-BO-3891,2472.66,9,0.0,914.76,523.466,High
MX-2015-GM1444037-42265,2015-09-18,2015-09-18,Same Day,GM-1444037,Consumer,Ecuador,South America,TEC-CO-3587,1213.19,7,0.002,508.01,493.409,Critical
MX-2014-AT1043582-41667,2014-01-28,2014-01-30,First Class,AT-1043582,Home Office,Mexico,Central America,OFF-AP-4736,2455.88,7,0.0,785.82,487.476,Medium
MX-2013-PV1898518-41614,2013-12-06,2013-12-08,First Class,PV-1898518,Home Office,Brazil,South America,TEC-AC-5223,2297.96,14,0.0,988.12,483.257,High
MX-2015-DM1295551-42103,2015-04-09,2015-04-13,Standard Class,DM-1295551,Corporate,Guatemala,Central America,FUR-TA-5064,3117.09,13,0.2,38.95,466.703,High
MX-2015-BE1133582-42082,2015-03-19,2015-03-21,First Class,BE-1133582,Home Office,Mexico,Central America,OFF-AP-4745,1888.7,5,0.0,887.6,465.918,High
MX-2012-JM1558082-41045,2012-05-16,2012-05-19,Second Class,JM-1558082,Consumer,Mexico,Central America,TEC-PH-5355,2124.5,5,0.0,488.6,447.657,High
US-2012-LH1675036-41129,2012-08-08,2012-08-08,Same Day,LH-1675036,Consumer,Dominican Republic,Caribbean,TEC-PH-5839,2044.8,6,0.2,-332.28,417.99,High
MX-2012-MD1735028-41222,2012-11-09,2012-11-14,Second Class,MD-1735028,Consumer,Colombia,South America,OFF-AP-4962,3172.14,9,0.0,856.44,399.849,Medium
US-2012-JH161805-41264,2012-12-21,2012-12-23,First Class,JH-161805,Consumer,Argentina,South America,TEC-PH-3149,2300.62,9,0.4,38.2,386.003,High
MX-2014-JL1517518-41903,2014-09-21,2014-09-24,Second Class,JL-1517518,Home Office,Brazil,South America,FUR-CH-5776,1236.48,4,0.0,111.28,381.219,Critical
MX-2015-MY1829593-42355,2015-12-17,2015-12-19,First Class,MY-1829593,Corporate,Nicaragua,Central America,OFF-AP-4505,1805.9,5,0.0,126.4,381.14,Critical
MX-2015-KC1654093-42158,2015-06-03,2015-06-07,Standard Class,KC-1654093,Consumer,Nicaragua,Central America,OFF-AP-4507,1810.3,5,0.0,54.3,378.258,High
MX-2015-CS1246093-42259,2015-09-12,2015-09-14,First Class,CS-1246093,Consumer,Nicaragua,Central America,TEC-PH-5354,2120.5,5,0.0,106.0,377.704,Critical
MX-2015-KD1627018-42330,2015-11-22,2015-11-24,First Class,KD-1627018,Consumer,Brazil,South America,FUR-CH-4544,897.48,9,0.0,322.92,374.376,Critical
MX-2013-CY1274582-41531,2013-09-14,2013-09-19,Standard Class,CY-1274582,Corporate,Mexico,Central America,TEC-CO-6010,2365.66,10,0.002,18.86,372.318,High
MX-2015-TM2149031-42329,2015-11-21,2015-11-21,Same Day,TM-2149031,Consumer,Cuba,Caribbean,TEC-CO-3597,1053.69,5,0.002,441.29,367.549,High
MX-2014-BM1178582-41976,2014-12-03,2014-12-04,First Class,BM-1178582,Consumer,Mexico,Central America,TEC-PH-5839,1278.0,3,0.0,89.46,365.902,High
MX-2013-FH1436582-41628,2013-12-20,2013-12-24,Standard Class,FH-1436582,Corporate,Mexico,Central America,TEC-PH-3806,3474.08,8,0.0,625.28,365.652,High
MX-2013-DK1337582-41530,2013-09-13,2013-09-15,Second Class,DK-1337582,Consumer,Mexico,Central America,TEC-PH-3148,2550.0,6,0.0,357.0,365.2,Medium
MX-2015-CC1210082-42245,2015-08-29,2015-09-02,Standard Class,CC-1210082,Home Office,Mexico,Central America,TEC-PH-5268,2142.3,5,0.0,556.9,363.1,High
MX-2012-JB1600093-41208,2012-10-26,2012-10-27,First Class,JB-1600093,Consumer,Nicaragua,Central America,TEC-PH-5839,1278.0,3,0.0,89.46,358.176,Critical
MX-2015-RB1979518-42258,2015-09-11,2015-09-18,Standard Class,RB-1979518,Home Office,Brazil,South America,FUR-TA-3763,2332.96,5,0.2,349.86,357.789,Low
US-2015-FM1421551-42115,2015-04-21,2015-04-23,Second Class,FM-1421551,Corporate,Guatemala,Central America,TEC-CO-4577,1058.28,5,0.002,-2.12,354.423,Critical
MX-2015-CS1246093-42259,2015-09-12,2015-09-14,First Class,CS-1246093,Consumer,Nicaragua,Central America,TEC-PH-5841,848.32,2,0.0,110.28,351.067,Critical
MX-2012-DV1346539-41179,2012-09-27,2012-09-29,Second Class,DV-1346539,Consumer,El Salvador,Central America,FUR-BO-5951,2325.28,8,0.0,511.52,347.815,High
MX-2013-BG1174018-41493,2013-08-07,2013-08-08,First Class,BG-1174018,Consumer,Brazil,South America,OFF-AP-4960,2461.06,7,0.0,566.02,343.809,High
MX-2015-SC2069539-42360,2015-12-22,2015-12-24,First Class,SC-2069539,Corporate,El Salvador,Central America,FUR-CH-4530,1269.6,4,0.0,355.44,333.148,High
MX-2015-NS1850528-42059,2015-02-24,2015-02-27,First Class,NS-1850528,Consumer,Colombia,South America,TEC-CO-6010,1655.96,7,0.002,13.2,329.577,High
MX-2014-CM1271582-41885,2014-09-03,2014-09-05,First Class,CM-1271582,Corporate,Mexico,Central America,FUR-CH-5379,976.96,4,0.2,232.0,328.659,Critical
MX-2015-CM1216093-42158,2015-06-03,2015-06-05,First Class,CM-1216093,Consumer,Nicaragua,Central America,FUR-BO-5762,2344.0,8,0.0,46.88,321.421,High
US-2015-BN1147082-42358,2015-12-20,2015-12-24,Standard Class,BN-1147082,Corporate,Mexico,Central America,OFF-AP-3872,2509.36,7,0.0,426.58,320.956,High
MX-2012-HL1504093-40929,2012-01-21,2012-01-27,Standard Class,HL-1504093,Consumer,Nicaragua,Central America,FUR-TA-3764,2797.25,6,0.2,-0.07,320.376,Low
MX-2013-LH1690018-41489,2013-08-03,2013-08-05,First Class,LH-1690018,Consumer,Brazil,South America,OFF-ST-6046,1455.08,11,0.0,261.8,320.29,Medium
MX-2014-FC1424528-41840,2014-07-20,2014-07-27,Standard Class,FC-1424528,Home Office,Colombia,South America,FUR-CH-5442,1869.72,6,0.0,205.56,318.169,Low
MX-2014-TT2122051-41727,2014-03-29,2014-04-01,Second Class,TT-2122051,Consumer,Guatemala,Central America,FUR-BO-5968,1815.24,7,0.0,471.94,318.08,High
MX-2015-SJ2021582-42179,2015-06-24,2015-06-26,Second Class,SJ-2021582,Consumer,Mexico,Central America,TEC-PH-3806,3045.84,7,0.0,1035.58,317.165,High
MX-2014-PB1880593-41942,2014-10-30,2014-11-05,Standard Class,PB-1880593,Home Office,Nicaragua,Central America,TEC-PH-3148,2125.0,5,0.0,297.5,316.764,Low
MX-2013-DJ1342082-41639,2013-12-31,2014-01-05,Standard Class,DJ-1342082,Corporate,Mexico,Central America,OFF-AP-4505,2528.26,7,0.0,176.96,310.748,High
MX-2014-BO1142582-41958,2014-11-15,2014-11-19,Standard Class,BO-1142582,Consumer,Mexico,Central America,TEC-PH-3806,3045.84,7,0.0,1035.58,309.748,High
