Date,Location,Gross Sales,Payment Net Sales,Discounts,Gross Profit,Transactions,Units,Refund Net Sales,Refund Transactions,Net Sales After Refunds,Discount Rate,Average Payment Net Basket,Period
2024-01-02,Store 01 - Austin,238.0,232.1,-5.9,130.46,4,6,0.0,0.0,232.1,0.024789915966386557,58.025,diagnostic
2024-01-02,Store 02 - Dallas,1149.5,1089.15,-60.35,643.55,14,31,0.0,0.0,1089.15,0.0525010874293171,77.79642857142858,diagnostic
2024-01-02,Store 03 - Houston,942.0,864.0,-78.0,432.57,7,16,0.0,0.0,864.0,0.08280254777070063,123.42857142857143,diagnostic
2024-01-02,Store 04 - San Antonio,1273.0,1225.45,-47.55,650.34,12,29,0.0,0.0,1225.45,0.03735271013354281,102.12083333333334,diagnostic
2024-01-02,Store 05 - Phoenix,1929.0,1888.3,-40.7,1127.57,23,51,0.0,0.0,1888.3,0.021099015033696218,82.1,diagnostic
2024-01-02,Store 06 - Denver,723.5,690.75,-32.75,362.87,5,13,0.0,0.0,690.75,0.045266067726330336,138.15,diagnostic
2024-01-02,Store 07 - Seattle,430.5,389.9,-40.6,219.2,7,11,0.0,0.0,389.9,0.0943089430894309,55.699999999999996,diagnostic
2024-01-02,Store 08 - Portland,395.0,375.0,-20.0,204.85999999999999,4,10,0.0,0.0,375.0,0.05063291139240506,93.75,diagnostic
2024-01-02,Store 09 - Chicago,2754.5,2657.7,-96.8,1499.33,35,65,-79.0,1.0,2578.7,0.035142494100562714,75.9342857142857,diagnostic
2024-01-02,Store 10 - Detroit,1071.0,1024.15,-46.85,570.35,14,27,0.0,0.0,1024.15,0.04374416433239963,73.15357142857144,diagnostic
2024-01-02,Store 11 - Columbus,1860.0,1773.88,-86.12,955.07,18,39,-24.0,1.0,1749.88,0.04630107526881721,98.5488888888889,diagnostic
2024-01-02,Store 12 - Atlanta,613.5,594.5,-19.0,327.43,7,15,0.0,0.0,594.5,0.030969845150774247,84.92857142857143,diagnostic
2024-01-02,Store 13 - Miami,1431.0,1379.95,-51.05,760.38,16,30,-129.0,1.0,1250.95,0.0356743535988819,86.246875,diagnostic
2024-01-02,Store 14 - Orlando,682.0,651.3,-30.700000000000003,344.59,7,12,0.0,0.0,651.3,0.045014662756598246,93.04285714285713,diagnostic
2024-01-02,Store 15 - Tampa,1368.0,1260.83,-107.17,682.62,15,27,0.0,0.0,1260.83,0.07834064327485381,84.05533333333332,diagnostic
2024-01-02,Store 16 - Charlotte,883.0,814.75,-68.25,456.1,11,23,0.0,0.0,814.75,0.07729331823329558,74.06818181818181,diagnostic
2024-01-02,Store 17 - Nashville,978.0,915.9300000000001,-62.07,534.15,20,29,-57.0,2.0,858.9300000000001,0.06346625766871165,45.7965,diagnostic
2024-01-02,Store 18 - Memphis,2302.0,2177.5,-124.5,1185.32,25,45,-32.0,1.0,2145.5,0.054083405734144226,87.1,diagnostic
2024-01-02,Store 19 - Boston,383.0,360.9,-22.1,228.53,6,13,-24.0,1.0,336.9,0.0577023498694517,60.15,diagnostic
2024-01-02,Store 20 - New York,574.5,554.35,-20.15,326.47,6,15,0.0,0.0,554.35,0.0350739773716275,92.39166666666667,diagnostic
