Date,Weekday,Retail calendar observation,Period
2024-01-02,Tuesday,Post-holiday returns period,diagnostic
2024-01-03,Wednesday,Post-holiday returns period,diagnostic
2024-01-04,Thursday,Post-holiday returns period,diagnostic
2024-01-05,Friday,Post-holiday returns period,diagnostic
2024-01-06,Saturday,Post-holiday returns period,diagnostic
2024-01-09,Tuesday,No named retail-calendar observation,comparison
2024-01-10,Wednesday,No named retail-calendar observation,comparison
2024-01-11,Thursday,No named retail-calendar observation,comparison
2024-01-12,Friday,No named retail-calendar observation,comparison
2024-01-13,Saturday,No named retail-calendar observation,comparison
