Date,Location,Gross Sales,Payment Net Sales,Discounts,Gross Profit,Transactions,Units,Refund Net Sales,Refund Transactions,Net Sales After Refunds,Discount Rate,Average Payment Net Basket,Period
2024-02-06,Store 01 - Austin,1376.0,1353.6,-22.4,757.86,16,32,0.0,0.0,1353.6,0.01627906976744186,84.6,comparison
2024-02-06,Store 02 - Dallas,1958.0,1866.33,-91.67,1046.56,19,45,0.0,0.0,1866.33,0.04681818181818182,98.2278947368421,comparison
2024-02-06,Store 03 - Houston,426.5,387.35,-39.15,198.28,7,9,0.0,0.0,387.35,0.0917936694021102,55.33571428571429,comparison
2024-02-06,Store 04 - San Antonio,1272.5,1191.3,-81.2,636.4399999999999,16,30,0.0,0.0,1191.3,0.063811394891945,74.45625,comparison
2024-02-06,Store 05 - Phoenix,2572.0,2387.68,-184.32,1353.01,33,66,0.0,0.0,2387.68,0.07166407465007776,72.35393939393938,comparison
2024-02-06,Store 06 - Denver,470.5,428.75,-41.75,270.78,9,15,0.0,0.0,428.75,0.08873538788522849,47.638888888888886,comparison
2024-02-06,Store 07 - Seattle,853.0,831.2,-21.8,452.46,11,20,0.0,0.0,831.2,0.02555685814771395,75.56363636363636,comparison
2024-02-06,Store 08 - Portland,673.0,662.6,-10.4,375.3,10,16,0.0,0.0,662.6,0.015453194650817237,66.26,comparison
2024-02-06,Store 09 - Chicago,3298.0,3120.6,-177.4,1696.98,37,79,-119.0,2.0,3001.6,0.0537901758641601,84.34054054054054,comparison
2024-02-06,Store 10 - Detroit,840.0,802.85,-37.15,488.12,17,27,0.0,0.0,802.85,0.044226190476190474,47.226470588235294,comparison
2024-02-06,Store 11 - Columbus,2197.5,2076.58,-120.92,1122.75,23,50,0.0,0.0,2076.58,0.055026166097838454,90.28608695652174,comparison
2024-02-06,Store 12 - Atlanta,1004.0,954.55,-49.45,492.77,10,19,0.0,0.0,954.55,0.04925298804780877,95.455,comparison
2024-02-06,Store 13 - Miami,1745.0,1668.05,-76.95,911.26,20,42,0.0,0.0,1668.05,0.044097421203438396,83.4025,comparison
2024-02-06,Store 14 - Orlando,708.0,675.35,-32.650000000000006,388.09,8,15,0.0,0.0,675.35,0.04611581920903956,84.41875,comparison
2024-02-06,Store 15 - Tampa,1715.5,1616.3799999999999,-99.12,901.29,17,44,0.0,0.0,1616.3799999999999,0.057779073156514135,95.08117647058823,comparison
2024-02-06,Store 16 - Charlotte,1324.5,1247.88,-76.62,696.67,17,33,0.0,0.0,1247.88,0.057848244620611555,73.40470588235294,comparison
2024-02-06,Store 17 - Nashville,2117.5,2031.75,-85.75,1111.25,20,45,0.0,0.0,2031.75,0.04049586776859504,101.5875,comparison
2024-02-06,Store 18 - Memphis,3482.5,3322.36,-160.14000000000001,1800.73,32,75,0.0,0.0,3322.36,0.04598420674802585,103.82375,comparison
2024-02-06,Store 19 - Boston,581.0,566.4,-14.6,341.7,7,15,0.0,0.0,566.4,0.02512908777969019,80.91428571428571,comparison
2024-02-06,Store 20 - New York,1669.0,1567.0,-102.0,887.53,21,49,0.0,0.0,1567.0,0.06111443978430198,74.61904761904762,comparison
2024-02-06,Store 21 - Brooklyn,605.0,562.55,-42.45,309.46999999999997,8,16,0.0,0.0,562.55,0.07016528925619835,70.31875,comparison
2024-02-06,Store 22 - Philadelphia,2544.5,2455.58,-88.92,1319.19,22,50,0.0,0.0,2455.58,0.0349459618785616,111.61727272727272,comparison
2024-02-06,Store 23 - Baltimore,1090.0,1058.9,-31.1,642.0,14,32,0.0,0.0,1058.9,0.02853211009174312,75.63571428571429,comparison
2024-02-06,Store 24 - Las Vegas,1203.5,1123.6,-79.9,614.34,12,29,0.0,0.0,1123.6,0.06638969671790611,93.63333333333333,comparison
2024-02-06,Store 25 - San Diego,1309.0,1269.48,-39.52,714.82,11,31,0.0,0.0,1269.48,0.030190985485103135,115.40727272727273,comparison
2024-02-06,Store 26 - Los Angeles,3117.0,3018.75,-98.25,1701.19,37,68,-59.0,1.0,2959.75,0.03152069297401348,81.58783783783784,comparison
2024-02-06,Store 27 - San Jose,1534.0,1493.73,-40.27,826.14,17,35,0.0,0.0,1493.73,0.026251629726206,87.8664705882353,comparison
2024-02-06,Store 28 - Sacramento,3312.0,3173.13,-138.87,1784.31,40,86,0.0,0.0,3173.13,0.041929347826086955,79.32825,comparison
2024-02-06,Store 29 - Minneapolis,2650.5,2515.2,-135.3,1431.4,35,73,0.0,0.0,2515.2,0.05104697226938314,71.86285714285714,comparison
2024-02-06,Store 30 - Kansas City,2262.5,2141.6,-120.9,1203.16,21,53,0.0,0.0,2141.6,0.05343646408839779,101.98095238095237,comparison
2024-02-07,Store 01 - Austin,718.5,710.0,-8.5,420.5,11,19,0.0,0.0,710.0,0.011830201809324982,64.54545454545455,comparison
2024-02-07,Store 02 - Dallas,2869.5,2728.28,-141.22,1541.1299999999999,31,72,0.0,0.0,2728.28,0.04921414880641227,88.00903225806452,comparison
2024-02-07,Store 03 - Houston,1149.5,1104.45,-45.05,630.28,14,28,0.0,0.0,1104.45,0.03919095258808177,78.88928571428572,comparison
2024-02-07,Store 04 - San Antonio,985.5,943.8,-41.7,547.92,17,27,0.0,0.0,943.8,0.042313546423135465,55.51764705882353,comparison
2024-02-07,Store 05 - Phoenix,2879.5,2760.95,-118.55,1579.29,39,78,0.0,0.0,2760.95,0.04117034207327661,70.79358974358973,comparison
2024-02-07,Store 06 - Denver,803.5,799.3,-4.2,470.65999999999997,10,19,-22.0,1.0,777.3,0.00522713130056005,79.92999999999999,comparison
2024-02-07,Store 07 - Seattle,1467.0,1421.5,-45.5,769.03,14,31,-129.0,1.0,1292.5,0.03101567825494206,101.53571428571429,comparison
2024-02-07,Store 08 - Portland,781.5,759.7,-21.8,413.34,7,19,0.0,0.0,759.7,0.027895073576455535,108.52857142857144,comparison
