Date,Location,Category,Payment Net Sales,Gross Profit,Units,Transactions,Period
2024-02-06,Store 09 - Chicago,Accessories,164.7,106.14,6,6,comparison
2024-02-06,Store 09 - Chicago,Apparel,998.2,593.68,24,16,comparison
2024-02-06,Store 09 - Chicago,Beauty,79.6,55.53,6,5,comparison
2024-02-06,Store 09 - Chicago,Electronics,480.70000000000005,234.23,14,11,comparison
2024-02-06,Store 09 - Chicago,Footwear,1142.6000000000001,548.42,18,13,comparison
2024-02-06,Store 09 - Chicago,Home Goods,254.8,158.98,11,7,comparison
2024-02-07,Store 09 - Chicago,Accessories,402.1,246.38,12,8,comparison
2024-02-07,Store 09 - Chicago,Apparel,1211.6,697.06,27,19,comparison
2024-02-07,Store 09 - Chicago,Beauty,81.1,55.300000000000004,4,3,comparison
2024-02-07,Store 09 - Chicago,Electronics,301.6,153.6,8,6,comparison
2024-02-07,Store 09 - Chicago,Footwear,795.05,395.23,13,9,comparison
2024-02-07,Store 09 - Chicago,Home Goods,200.3,132.14,9,7,comparison
2024-02-13,Store 09 - Chicago,Accessories,520.3,342.38,16,10,diagnostic
2024-02-13,Store 09 - Chicago,Apparel,1155.1100000000001,673.03,30,21,diagnostic
2024-02-13,Store 09 - Chicago,Beauty,202.7,140.19,14,12,diagnostic
2024-02-13,Store 09 - Chicago,Electronics,337.95,165.73,9,9,diagnostic
2024-02-13,Store 09 - Chicago,Footwear,1023.95,529.41,19,14,diagnostic
2024-02-13,Store 09 - Chicago,Home Goods,245.0,152.26,8,6,diagnostic
2024-02-14,Store 09 - Chicago,Accessories,526.6,340.0,17,13,diagnostic
2024-02-14,Store 09 - Chicago,Apparel,1669.73,970.37,39,22,diagnostic
2024-02-14,Store 09 - Chicago,Beauty,356.1,241.81,25,21,diagnostic
2024-02-14,Store 09 - Chicago,Electronics,467.55,219.0,11,10,diagnostic
2024-02-14,Store 09 - Chicago,Footwear,797.3,409.12,14,11,diagnostic
2024-02-14,Store 09 - Chicago,Home Goods,327.4,210.72,12,8,diagnostic
