Date,Location,Gross Sales,Payment Net Sales,Discounts,Gross Profit,Transactions,Units,Refund Net Sales,Refund Transactions,Net Sales After Refunds,Discount Rate,Average Payment Net Basket,Period
2024-03-24,Store 01 - Austin,1415.5,1350.25,-65.25,749.9,17,33,0.0,0.0,1350.25,0.0460967855881314,79.42647058823529,comparison
2024-03-24,Store 02 - Dallas,2887.0,2803.3,-83.7,1553.6,32,66,0.0,0.0,2803.3,0.02899203325251126,87.603125,comparison
2024-03-24,Store 03 - Houston,882.5,857.0,-25.5,507.79,10,22,0.0,0.0,857.0,0.028895184135977338,85.7,comparison
2024-03-24,Store 04 - San Antonio,3033.0,2879.85,-153.15,1629.52,34,76,-87.0,2.0,2792.85,0.05049455984174085,84.7014705882353,comparison
2024-03-24,Store 05 - Phoenix,4492.5,4334.45,-158.05,2459.57,61,113,-24.0,1.0,4310.45,0.035180856983861995,71.05655737704917,comparison
2024-03-24,Store 06 - Denver,1904.0,1843.48,-60.519999999999996,1054.62,16,50,0.0,0.0,1843.48,0.031785714285714285,115.2175,comparison
2024-03-24,Store 07 - Seattle,1152.0,1038.05,-113.95,543.6800000000001,11,22,-21.0,1.0,1017.05,0.09891493055555556,94.36818181818181,comparison
2024-03-24,Store 08 - Portland,1118.0,1016.95,-101.05,555.91,12,26,0.0,0.0,1016.95,0.09038461538461538,84.74583333333334,comparison
2024-03-24,Store 09 - Chicago,4849.0,4679.51,-169.49,2659.22,57,119,0.0,0.0,4679.51,0.03495359868014024,82.09666666666666,comparison
2024-03-24,Store 10 - Detroit,3343.5,3194.6,-148.9,1768.72,36,80,0.0,0.0,3194.6,0.04453417077912367,88.73888888888888,comparison
2024-03-24,Store 11 - Columbus,3381.5,3264.05,-117.45,1809.45,35,81,0.0,0.0,3264.05,0.03473310660949283,93.25857142857143,comparison
2024-03-24,Store 12 - Atlanta,2246.5,2079.25,-167.25,1126.87,23,46,0.0,0.0,2079.25,0.07444914311150679,90.40217391304348,comparison
2024-03-24,Store 13 - Miami,2344.0,2204.25,-139.75,1143.83,25,50,-84.0,1.0,2120.25,0.059620307167235494,88.17,comparison
2024-03-24,Store 14 - Orlando,747.0,694.3,-52.7,401.68,14,22,0.0,0.0,694.3,0.07054886211512718,49.59285714285714,comparison
2024-03-24,Store 15 - Tampa,2346.0,2260.54,-85.46,1287.48,30,59,0.0,0.0,2260.54,0.03642796248934356,75.35133333333333,comparison
2024-03-24,Store 16 - Charlotte,2007.0,1907.8,-99.2,1107.42,31,56,0.0,0.0,1907.8,0.04942700548081714,61.541935483870965,comparison
2024-03-24,Store 17 - Nashville,3088.5,2943.31,-145.19,1631.3899999999999,35,77,-9.5,1.0,2933.81,0.04700987534401813,84.09457142857143,comparison
2024-03-24,Store 18 - Memphis,5837.5,5535.91,-301.59000000000003,3141.2599999999998,67,145,-89.0,2.0,5446.91,0.051664239828693795,82.6255223880597,comparison
2024-03-24,Store 19 - Boston,1852.0,1768.28,-83.72,969.92,20,40,0.0,0.0,1768.28,0.045205183585313176,88.414,comparison
